Material,Eg_eV,Density_g_cm3,DOS_at_Ef,Conductivity_Proxy,Log_Sigma,Regime
Cu,0.0,9.21899604714547,0.3054,2.8154813927982265,0.4495526614982574,Metal
AlCu,0.0,5.511280106531164,2.093,11.535109262969724,1.0620217126086091,Metal
CuCl2,0.0,3.261091609729422,1.3342,4.350948425700995,0.6385839353904448,Metal
CuI4,0.0,5.364724317171609,8.8901,47.69293565208732,1.6784540554660898,Metal
Ga2Cu,0.0,7.41154853982418,0.8119,6.017436259483251,0.7794114986549395,Metal
CuAu,0.0,14.86263662404068,0.6116,9.089988559263281,0.9585633366203697,Metal
TiCu,0.0,6.553558170638885,2.7167,17.804051482174657,1.250518841420161,Metal
CuO,0.0,6.155599921960791,2.3132,14.239133739479703,1.1534835691067415,Metal
Zr2Cu,0.0,7.041590575522222,1.5787,11.116559041576933,1.0459703789303192,Metal
Hf2Cu,0.0,12.635812480611495,1.2992,16.416447574810455,1.2152791841154493,Metal
Ti2Cu,0.0,5.792678466692911,1.3871,8.035024301149738,0.9049871945881879,Metal
CuF2,0.0,4.952617617703766,2.054,10.172676586763535,1.0074352374818007,Metal
CuP2,0.8679000000000001,4.365565051390864,0.0,2.235822657611556e-07,-6.650368446781232,Semiconductor
CuI,1.6471,5.728773114188356,0.0055,8.35526534044764e-14,-9.99963728694388,Semiconductor
CuPt,0.0,15.738806121418666,0.8162,12.846013556301916,1.1087683759894194,Metal
SrCu,0.0,4.017949455832926,3.6685,14.739847578723088,1.1684929926126992,Metal
BaCu,0.0,4.645765489442339,3.2649,15.167959746480292,1.1809271674451214,Metal
Zn3Cu,0.0,8.167119435897776,1.787,14.594642431949325,1.164193459263042,Metal
CuP10,1.0585,2.630580678955053,0.0,3.375632232501359e-09,-8.45896618384742,Semiconductor
CuBr,0.48709999999999903,5.264051278564948,0.0,0.0004261315282468583,-3.3704562304948857,Semiconductor
CuPd,0.0,10.660559077509308,1.5277,16.28613610271097,1.211818059859544,Metal
ScCu,0.0,5.29300627125541,1.3083,6.924840104683454,0.84040974995137,Metal
TbCu,0.0,8.953401420438828,1.0838,9.703696459471603,0.986937202945606,Metal
ErCu,0.0,9.753187214134323,0.9881,9.637124286286124,0.9839474599534438,Metal
HoCu,0.0,9.496984463605598,1.0079,9.572010640868083,0.9810031727361294,Metal
